F	20000230	gte_RotAverageNclipColorDpq3	__gtemacro	void gte_RotAverageNclipColorDpq3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2, SVECTOR * r3, SVECTOR * r4, SVECTOR * r5, CVECTOR * r6, long * r7, long * r8, long * r9, CVECTOR * r10, CVECTOR * r11, CVECTOR * r12, long * r13, long * r14, long * r15)
F	20000234	gte_RotAverageNclipColorCol3	__gtemacro	void gte_RotAverageNclipColorCol3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2, SVECTOR * r3, SVECTOR * r4, SVECTOR * r5, CVECTOR * r6, long * r7, long * r8, long * r9, CVECTOR * r10, CVECTOR * r11, CVECTOR * r12, long * r13, long * r14, long * r15)
F	20000238	gte_LoadAverage12	__gtemacro	void gte_LoadAverage12(VECTOR * r0, VECTOR * r1, long r2, long r3, VECTOR * r4)
F	2000023c	gte_LoadAverage0	__gtemacro	void gte_LoadAverage0(VECTOR * r0, VECTOR * r1, long r2, long r3, VECTOR * r4)
F	20000240	gte_LoadAverageShort12	__gtemacro	void gte_LoadAverageShort12(SVECTOR * r0, SVECTOR * r1, long r2, long r3, SVECTOR * r4)
F	20000244	gte_LoadAverageShort0	__gtemacro	void gte_LoadAverageShort0(SVECTOR * r0, SVECTOR * r1, long r2, long r3, SVECTOR * r4)
F	20000248	gte_LoadAverageByte	__gtemacro	void gte_LoadAverageByte(char * r0, char * r1, long r2, long r3, char * r4)
F	2000024c	gte_LoadAverageCol	__gtemacro	void gte_LoadAverageCol(CVECTOR * r0, CVECTOR * r1, long r2, long r3, CVECTOR * r4)
F	20000250	gte_MulMatrix0	__gtemacro	void gte_MulMatrix0(MATRIX * r0, MATRIX * r1, MATRIX * r2)
F	20000254	gte_ApplyMatrix	__gtemacro	void gte_ApplyMatrix(MATRIX * r0, SVECTOR * r1, VECTOR * r2)
F	20000258	gte_ApplyMatrixSV	__gtemacro	void gte_ApplyMatrixSV(MATRIX * r0, SVECTOR * r1, SVECTOR * r2)
